content,Label
"Aneh narik token ke Ewallet yg masuk tidak sesuai harga pasar, padahal detail transaksi Gratis biaya Fee klo emang ga gratis yg bener dong bikin detail bikin kecewa, narik 0.12055249 saat ini harga 53.300rb masuk dana jadi 48.272rb",Negatif
Gan ini saya salah masukin nominal transfer untuk stor. Dan saya sudah email dan tlp call center. Ini gimana ya proses selanjut nya.,Positif
Tolong dong minimum transaksi nya di perhatikan apk lain bahkan ada yg cuma 5k minimum nya ini 50k tolong di kecilin dong........,Negatif
"Saya kasih bintang 5, sebab biar sama sama enak dan juga ini saya baru coba download aplikasi ini",Positif
"Triv oke sih, tapi klo bisa untuk jual dan beli kripto langsung aja ga perlu pake verifikasi email segala seperti exchange lain karena bikin lambat dan menghambat untuk gerak cepat klo dipake treding, kecuali deposit dan WD pake verifikasi email wajib, klo itu bisa diperbaiki baru triv mantap buat treding,",Negatif
Mantappp... transaksinya cepat banget,Positif
Di aplikasi nya belum ada doge coin . Tapi di web udah ada .🙏🙏🙏,Positif
"Sejauh ini sih triv udh bagus, tingkatkan pelayanannya",Positif
"Jual bitcoin udh masuk rekening, ga pake lama. feenya murah lagi",Positif
"Kasih 4 dulu ya de...mau coba, kl nyaman sy kasih 5 Tapi adminnya kece dach....balesnya pakai bahasa gaul ...seneng geu inih .....ga muter muter pakai bahasa prosedure Kl bagus bener sy kasih 5 ntar",Positif
Jangan gunain aplikasi ini...aplikasi scam....staking disini bisa minus nominal uangnya dari modal 200rb jadi minus 205rb&jumlah koin yg di staking'kan jg menyusut habis...,Negatif
"di aplikasi sebelah deposit ada batas minim dan makasimalnya ,,ini sudah dua kali deposit sebesr 400 ribu lebih, gak ada yg masuk ,alasan beribu alasan di tanyakan kepd teamnya triv selalu tugas nya ter kena antrian tiket ,,hati hati yg mau deposit tidak sesuai nominal yg di berkan oleh triv kita lebih atau kurangnkan tidak akan masuk ke akunya dan apanila yidak tercantum pada nominal yg di berikan oleh mereka uang anda akan hilang tak di kembalikan",Negatif
"TRIV bagus ,mudah digunakan,apalagi buat pemula,",Positif
"lebih banyak listing coin dan token meme admin triv,yg harga masih di bawah 1 rupiah!",Positif
saya memiliki 4 markt dimenit yang sama harga btc jauh berbeda min.. tolong jelaskan? dan biar kan ulasan saya ini ada ya min... :) tolong diperbaiki apakah bug?,Negatif
"Baru saja download dan install, tapi ko gak bisa daftar ya.. Buton ""daftar"" nya tidak berfungsi..mohon segera di perbaiki",Negatif
"Barusan saya coba login, dan hasilnya ternyata ERROR 500. Mungkin ada penjelasan lebih mendetail terkait hal ini? Sebab saat ini saya mulai merasa khawatir degan keamanan dana saya yang ada di triv. Kiranya Bapak/Ibu pihak triv bisa menjelaskannya. Terima Kasih",Positif
Apk g jelas Melakukan Wd aj sampe harus ngirim berapa kali verifikasi dan ketika deposit saja langsung cepat ketika melakukan Wd harus di persulit,Negatif
"Apk.. Sih bagus, ringan, iklannya juga mantap, tapi, masa buat beli koin masih pake kyt. Padahal udah verifikasi di profil. Ga kayak di binance ma indodax. Sekali verifikasi running.... Disini kok ribet yaa.",Negatif
Sudah bagus saya pengguna triv. Untuk masukan tampilan harusnya seperti binance atau indodax. Saldo yang ada harusnya di tampilkan di atas. Biar qt gk scrol ke bawah dulu.,Positif
"(Mau tanya min, dari coinbase langsung ke triv bisa kan?) Aih, asli keren sih karya anak bangsa yg satu ini. Crypto-wallet paling TOP MARKOTOP. Transaksi gampang tanpa syarat ribet"". Feenya rendah bgt bgt bgt. Kembangkan lagi min gan/can. Fighting!!!!",Positif
Bagus dan sangat bagus aplikasinya utk pemula mudah,Positif
"Aplikasi trading yang bagus, bisa jual beli koin cripto, bagus untuk pemula yg mau belajar trading, bisa menambah pundi2 di era seperti ini, pokoknya keren",Positif
"sudah download dan scroll sana sini ternyata fitur yang ada mudah untuk dipahami bagi pemula seperti saya ini, aplikasi triv ternyata menyediakan juga untuk top up segala tagihan mulai isi ulang pulsa, token listrik, paket data, dll. pokoknya recommended wajib coba ya bro.",Positif
"Aplikasi yang sangat bagus, apalagi dari segi uinya, tapi tolong untuk chart /15menit di perbaiki, dan kalau bisa di adakan fitur notifikasi penurunan atau kenaikan harga 🙂",Positif
"Aplikasinya bagus bangett,,apalagi buat pemulaa cocok bgt buat belajar trading,,bermanfaat bgt di masa pandemi kaya sekarang,,dan gak pernah ada kendala meski withdraw bberapa kali,,keren dehh pokonya",Positif
Suka banget sama ni aplikasi sangat mudah banget buat jual beli aset digital dengan mudah dan cepat dan yang pasti sudah aman karena sudah terdaftar Bappebti.,Positif
Bagus juga untuk pemula yang coba belajar . Sangat mudah digunakan dan cocok banget untuk disela sela waktu.,Positif
"Bagus banget dengan adanya Triv saya bisa stacking koin yg saya inginkan ,, dan bisa beli koin juga , semoga kedepannya lebih bagus lagi sukses selalu",Positif
Tolong koinnya ditambahin biar bisa pilih pilih koin yang lainnya juga,Positif
"langsung direspon tepat email saya, terimakasih, saya rubah ke bintang lima 👍👍👍👍👍👍👍 tambahan, WD ke bank 3 detik nyampek, aplikasi yang laen nyantol nyantol !!!!!!! Buat yg gagal KYC dicoba pake SIM aja...",Positif
"jadi inget awal tahun sebelum punya KTP mau beli koin cuma di triv, dari modal masih puluhan sampai ratusan ribu Alhamdulillah sekarang dah lumayan banyak, bagus app nya rate 9/10 lah",Positif
"Aplikasi buruk, pin otp ke email terlalu lama, kadang ga mau muncul, banyak hambatan untuk tarik dan kirim uang",Negatif
"Sejak 2018 pakai triv buat transaksi, sebelum exchange di indo serame ini saya seneng pakai triv. Pas hari ini login tiba2 muncul ""akun anda telah dikunci"" jadi begini perlakuan ke pelanggan lama?",Negatif
Aplikasi banyak potongan top up 90k nyampe saldo 70k gila sih ga worth it malah saldo abis buat admin,Negatif
"Kebijakan Harus menyisakan saldo di koin btc 60 RB++ dan wbtc 71 RB++ perlu ditinjau ulang, ga enak bagi investor dibawah 1 jt. Terima kasih",Positif
"Potongan gede banget masak beli holo 30 harga naik jadi 33, masih saldo kepotong udah gitu ada adminnya lagi 3000, terus tarik ke rekening lama banget, nyesel udah nyobain triv sekarang saldo saya tarik semua. Mudah-mudahan adminnya baca biar diperbaiki",Negatif
"Di amdroid 14 gk bisa kebuka bug, bintang 1 dlu",Negatif
Triv mantap pokonya keren dah sy pemula tapi Alhamdulillah setiap hari dpt cuan trims triv,Positif
"transaksi instan mudah dan cepat, mantapp",Positif
"Bagus, cuma fitur kurang lengkap dan UI nya terasa ribet",Positif
Aplikasi bohongan.. Sengaja spam komen bagus supaya orang suka dan downloadd.. Awas jangn sampe ketipu...,Negatif
Semoga aplikasinya tambah maju dan sukses selalu amin,Positif
Pelayanan buruk.akun tiba tiba diblokir.ada saldo nya ..katanya disuruh poto ktp sma selfi..sudah saya kirim ke email.tapi g ada respon.,Negatif
Tolong di tingkatkan Doge coin belum tersedia di platform ini.,Negatif
Dua tahun bersama Triv sungguh mengesankan perjalan ini. Respon Costumer support nya sangat baik apalagi sekarang banyak sekali perubahan fitur fitur coin yang semakin banyak yang dulu cuma 8 koin semoga kedepannya semakin sukses pengelola aplikasi ini dan menjadi yang terbaik di Indonesia.,Positif
"lebih cepat donk kalo deposit,wd udah ok.cuman kalo deposit lambat masuk.kurang sigap chat respon jg.ayo lah jangn kalah sama toko sebelah lebih & lebih tingkatkan lagi.",Positif
Aplikasi ini keren dah... Good job...,Positif
"Sebenarnya aq kurang tertarik dengan bisnis Crypto ini karena kurangnya pengetahuan soal crypto dan aq takut resikonya juga terlalu besar Setelah cari tahu, dan mempelajari beberapa Platform markertplace Crypto, ada yang menarik perhatianku salah satunya TRIV, dan sampai sekarang aq sudah jadi member tRiv hampir 1 tahunan",Positif
"Info info mengenai bisnis Crypto jarang sekali ada sehingga untuk terjun di bisnis yang satu ini aq agak khawatir sih Tapi aq coba membandingkan beberapa company yang bergerak di bidang ini, salah satunya ada TRIV, Triv juga sudah bersertifikasi BAPEPTI sehingga makin aman dan nyaman mau transaksi di sini",Positif
"Di masa pandemi ini, aq gak tahu harus jalanin bisnis apalagi supaya dapur tetap ngebul untung ada TRIV, meskipun banyak platform lainnya yang serupa aq lebih tertarik sama TRIV Soalnya semua2 serba mudah di TRIV, good job Triv sudah membantu perekonomian gue tetap lancar",Positif
"Aku gak tahu kalo di Triv ada fitur Gadai Cyrpto, gimana gak asik coba, dengan aset Crypto yang kita punya di TRIV kita bisa dapatkan pinjaman dan bunganya juga gak terlalu tinggi, benar benar menguntungkan... Dimana lagi coba ada cara praktis seperti ini kalo bukan di TRIV",Positif
"Reset password, kok lama x dikirim gmailnya...hadeuh...",Positif
"Awalnya gak tahu sama sekali tentang apa itu Crypto Dapat rekom dari teman suruh buka2 akun TRIV, akhirnya tertarik dan daftarlah gue di TRIV so far untuk pemula sih hasilnya tidak mengecewakan, semoga kedepannya lebih ok lagi",Positif
Ketika ada error' hp kita.triv sangat mempersulit kita masuk.akirnya sakdol dan stock serta kipto hangus.reset password berkali kali error' lagi.akirnya tri saya uninstal dan uang saya amblas .hati hati .kini saya beralih ke aplikasi bibit dan pluang.,Negatif
"hati hati, udah ada indikasi triv akan tiba2 tutup, suamiku jual crypto via ewallet gak masuk masuk sampe sekarang, costumer service nya pun gak ada respon sama sekali baik via livechat ataupun via email dan tiket, waspada buat yg punya banyak aset di triv sebaiknya segera tarik, demi keamanan",Negatif
Untuk mengirim link verifikasi akun lama padahal jaringan lancar! Tolong di perbaiki,Negatif
"Mantap aplikasinya keren dan memudahkan untuk saya sebagai pemula. Menunya juga bnyak n mudah di fahami,recomend deh Aplikasi Triv ini.",Positif
"Keren ni main nie ,, sambil belajar sambil menghasilkan uang apk nya jg keren.",Positif
"Bagus banget aplikasi nya bisa beli berbagai Crypto & Saham AS dengan spread rendah, Triv juga terdaftar di Bappebti jadi aman untuk pengguna",Positif
CS nya bisa close tiket sendiri ya. Padahal masalah belum beres. Aneh! Terus CS nya LOL banget. Ditanya apa dijawab apa.,Negatif
"Aplikasi bagus dan ringan buat handphone , gampang di mengerti dengan dukungan fitur yang lengkap , saya juga pengguna triv",Positif
"aplikasinya ok banget goood,,banyak fiturnya mudah di pahami",Positif
Adminnya sangat komunikatif dan responnya juga cepat dalam menanggapi keluhan pengguna. Fee paling murah,Positif
"Pelayanannya fast respon sekali, selalu memberi saran dan konsultasi dengan baik. Transaksinya juga cepat",Positif
Mantap banget spread rendah dan pencairan wd nya jg cepat hitungan menit masuk,Positif
admin responsif dan sangat cepat membalas berbagai pertanyaan,Positif
"Fast respon adminnya, ada kendala dikit langsung ditangani secara professional, selalu dikasih solusi yang baik, pokoknya",Positif
"Saya sebagai user setia triv sangat berterimakasih atas layanan yang di berikan kepada admin Triv,akan tetapi ada 1 kekurangan di aplikasi exchanger Triv yakni koin yang di sediakan kurang lengkap seperti Brise Bitgert,Digibyte,Xno (Nano) dan masih banyak yang belum tersedia di Triv semoga kedepannya admin memberikan banyak persediaan jaringan blockchain agar user semakin setia kepada Triv sekian terimakasih.",Positif
Ku habis wd 0.15LTC namun sampai sekarang nggak masuk Padahal bukti payment resminya ada dan tertulis complete,Negatif
"Baru nyoba aplikasinya, masih belajar pake aplikasinya. Semoga aplikasinya manfaat. Silahkan mencoba teman-teman.",Positif
"Bagi kita member TRIV, selain fitur2 nya yang banyak dan sangat menggoda Di Triv juga banyak giveaway, tuker poin dapat voucher, ada juga yang menginap di hotel bintang 5 gak rugi pokoknya kalo jadi member TRIV, silahkan dicoba kalo penasaran…",Positif
"Ada teman yang tanya apa sih fitur staking Triv itu, sebenarnya mirip sekali dengan deposito, Cuma yang kita depositkan itu koin kita tapi jangn salah staking di sini bunganya jauh diatas rata2, jadi keuntungan kita juga pasti berlipat lipat",Positif
"Platform yang satu ini juga mempunyai banyak alternatif pilihan koin gak usah bingung gak usah ragu sesuaikan saja sama budget kita masing2 masing punya kelebihan dan semua itu bisa kita tentukan sendiri, sangat2 flexible",Positif
"Terima kasih Buat semua Triv Management and developer. Selama 3 bulan (Agustus 2021) menggunakan aplikasi ini belum ada kendala. Top up gampang, segala jenis pembayaran bisa. Tarik investasi kriptod hitungan detik all payment, bahkan sampe ke rekening saya. Makasih juga udah mengabulkan stack system buat coin favorit saya $shiba Inu. Triv de best 🔥",Positif
"Seneng banget dengan Fitur gadai Crypto di TRIV, selain praktis dan cepat pencairannya Kita juga gak perlu diribetkan dengan persyaratan2 yang banyak Semoga kedepannya lebih banyak lagi fitur2 yang bermanfaat bagi member TRIV yang lain",Positif
"Hati hati ini aplikasi suka mainin harga beli ama jual udah ma triv fee nya mahal rate harga nya juga di mainin kecewa berat gw, fix gw uninstal dan gk akan gw instal lgi trimakasih",Negatif
"Di Triv ternyata juga ada fitur staking, mirip 2 kayak deposito di bank gitu Cuma disini masing 2 koin punya perbedaan jumlah bunganya tapi yang jelas bunganya pasti lebih besar dari deposito biasanya... gak rugi aq ikutan staking ini... Mantap bosq",Positif
"Aplikasinya bagus ,untuk pemula sangat mudah di pahami",Positif
Baru kali ini Nemu app crypto yg ribet. Mau transaksi atau tarik dana aj hrs approval dr bapepti. Uang punya kami kenapa hrs izin sama yg lain kalau mau narik?,Negatif
"Mohon segara di perbaiki sistem aplikasinya, penyimpanan saya masih banyak tapi aplikasi triv nya sering berhenti sendiri , saya harap keluhan nya saya dapat di atasi",Negatif
"Mantap pokoknya,,,maju terus buat triv👍👍👍ayoo buruan download dan rasakan bedanya...",Positif
Ngapain coba daftar disini klo ga pernah di verifikasi akun nya.padahal daftar nya simple tapi kok jd ribet klo g di verifikasi.daftar di 2 aplikasi sebelah udah di verifikasi sudah beli COIN pulaaa🤭.tips klo mau cari investor tuh jg di persulit.,Negatif
Review jujur. Saya sudah coba beberapa paltform trading cypto. Tapi Triv menurut saya aplikasi yang paling bagus. Spread harga rendah. Tampilan juga simpel dan menarik. Deposit dan WD juga sangat cepat. Thanks Triv. Jangan lupa pakai kode reveral dari saya ya dibawah untuk mendapatkan 0.1 Eth. 4h7yoxoyncotq,Positif
"Gilaa fee jual nya ampe 5k per transaksi, agak kecewa, trus minimal pembelian coin cryptonya juga mesti 50k, yg dimana itu terlalu besar bagi orang yg mau inves/trading dengan modal kecil2an dulu",Negatif
Aplikasi yang bermanfaat cocok untuk pemula yang ini mendapatkan cuan ☺.,Positif
"Aplikasi triv ini cocok untuk yang masih pemula, aplikasi ini sangat mudah untuk di coba apalagi fitur fitur nya lengkap semua",Positif
"Saya rekomendasikan aplikasi triv, untuk bermain tranding yang aman dan terpercaya sat set prosesnya. Fiturnya memudah di pahami dan simpel di gunakan untuk semua pemula.",Positif
saya sangat senang dengan aplikasi ini karena mudah digunakan bagi saya yang masih pemula di dunia crypto 🤩,Positif
"Aplikasi bagus, recommended buat pemula, tampilan musah dimengerti, transaksi musah dan cepat. Mantappp",Positif
Di keterangannya tertulis Withdraw GRATIS tapi pas saldo masuk tetep KEPOTONG Rp. 5.000 Lawak Memang,Negatif
Cepat dan mudah. Selalu memperbaiki diri mempermudah kami untuk menggunakan aplikasi ini,Positif
"Aplikasi yang bagus untuk nambah cuan,uang bekerja untuk kita, itu namanya pasive income.",Positif
Mantab mudah di pahami.. Rekomendasi buat pemula.. Tampilan bagus. Cocok banget deh buat saya,Positif
Aplikasi yg bagus bagi yg masih awam mengenai crypto. Mudah dipahami untuk pemula seperti saya 👍,Positif
"Aplikasi yang Recommended banget, Simple - Cepat, Aplikasinya Ringan, tampilan Oke. Yang terpenting info-infonya up to date. 👍",Positif
"Aplikasi cocok buat pemula yang ingin tranding,mudah di pelajari dan banyak fitur - fitur yang bagus,ayo download sebelum terlambat",Positif
Aplikasi yang bermanfaat bagi saya ringan dan mudah d akses,Positif
Rekomended banget nih. Aplikasi yang sangat bagus. Dengan aplikasi ini kita dapat melakukan jual beli aset digital secara praktis. Cara main aplikasi triv ini sangat mudah digunakan. Cocok untuk yang tidak suka ribet.,Positif
"Wd lancar jaya, langsung masuk rekening dong cuy",Positif
"Mantappp...pelayanannya ramah, transaksinya cepat dan aman..feenya murah...sukses selaluTRIV",Positif
Saya beri 5 🌟 karena aplikasi ini sangat bagus sekali. Deposit dan wd cepat banget,Positif
Good job.. semua bagus kok. veriikasinya juga mudah dan fee nya juga murah,Positif
aku edit kak pendaftaran nama depan dan belakang. aku kasih nama yang sama. tapi besar kecil nya ngaruh gk kak buat nanti di akun bank penarikan contoh: YADI Yadi ok trimaksih kak,Positif
Mantap pelayanan y ramah dah lama menggunakan triv. oke2 aja sampai sekarang,Positif
"Terima kasih,,,, Triv is the best banget,, sy udah lama pake triv, transaksinya sangat cepat dan aman, pencairan wd juga kilat, bravo",Positif
"Customer servicenya sudah responsif dan membantu dalam permasalahan saya. Terus tingkatkan pelayanan, semoga Triv sukses selalu",Positif
"Triv emang paling oke, fee paling murah, transaksi lancar dan mantappp pokoknya",Positif
"Tolong di perbaiki apa tidak salah, alamat ETH sama USDT kok sama",Positif
"saya sudah daftar, dan dapet konfirmasi pin dari email, setelah saya masuk ada konfirmasi lagi validasi akun yg d kirim melalui email... saya udah cobak setiap hari selama 1 bln penuh, validasi tdk d krm k email saya,... saya sampek unistal dan instal lagi tetep nggak masuk validasinya... pernah sekali berhasil masuk, tp linknya sudah kadaluarsa katanya... tolong d perbaiki atau tolong bantu saya unt masuk...",Negatif
Masa deposit atau widhraw harus minimum 50.000 sih kecewa buat gw yg masih pelajar pengen investasi kripto minimal 20 RB lah kalau depo Ama wd gede banget yg pengen investasi kecil² an kan susah plis kecilin dong minimum depo Ama wd :(,Positif
"Kenapa saya setiap mau konfirmasi hanya ada tulisan ""please wait"" akan tetapi tidak dapat masuk lebih jauh lagi? Apakah sistemnya sedang error atau ngebug? Mohon bantuan min.",Negatif
Mantab aplikasinya cara jual belinya sangat cepat cuma hitungan detik. Tp coinmicin yg ada di triv kurang lengkap coba kl koin micin nya lengkap wih tambah mantap👍,Positif
"Aplikasi hebat adminnya cepat merespon 👍👍👍 , saya berharap akun segera kembali",Positif
Trx Trc20 dong biar bisa wd dri trust wallet!!!!,Negatif
Gimana sih triv ini aku deposit gak masuk masuk....dan aku kirim email tulisannya tidak ada transaksi .....buat kecewa,Negatif
"Aplikasi penipu,tidak bisa trsnsfer uang,biaya fee 50.000 rupiah, setek otomatis bohong",Negatif
Tidak bisa verifikasi email kenapa?? Padahal sudah dikirimi email tetapi tidak bisa di klik linknya?,Negatif
"Aplikasi yang sangat membantu dalam bermain kripto., Doakan guys semoga bisa lebih maju aplikasinya",Positif
Ada kendala tim trivnya responnya cepatnya,Positif
"triv aplikasi trading yg okee sih, buat pemula jg enak karena simpel dan cepat. Buat fitur"" nya jg mudah buat dipakai pemula hehe siplah",Positif
"Apk apaan fee transaksi 5ribu lah gw cuma beli 500k doang terus tp juga kena 5k,parah nya lg wd ke bank kena biaya 10k,hadeh apk sampah ajg.yg ngasih *5 cuma bot mereka,uninstalllllll....",Negatif
"Triv memang bagus , tampilan menunya mudah dipahami cocok untuk pemain pemula seperti saya, mungkin ke depan triv bisa lebih otomatis dan profesional , mantap",Positif
"Wah aplikasi ini sangat berguna dan membantu dalam aset keuangan saya,terimakasih.",Positif
"apliksi yg sgt mmbntu utuk sgla tansaksi dgn mudah dan mmbrikan kmudahn bagi pemula usaha kecil2an, aplkasi yg bnyk untung ny krna smua ad d triv dan semua bisa",Positif
"Aplikasi yg cocok bagi kita (buat investasi). Nggak ada yang senyaman menggunakan ""Triv""... sangat user friendly bagi siapapun. Terjamin legalitasnya (Bappebti), mudah dipahami, fiturnya lengkap dan banyak pilihan, spreadnya rendah, real time & cepat 24 jam tanpa libur, bunga staking rendah, withdraw cepat. Sangat recommended untuk didownload. Successs TRIV suksesss dunia investasi...",Positif
semoga aja nyaman dipakai baru download saya karena rating nya bagus saya coba berani memulai yng baru demi kesuksesan semngat pejuang tranding,Positif
"Yang paling aq suka kl berinvestasi di Crypto ini semuanya serba cepat dan instan, serta mudah lagi contohnya nih ya kalo kita mau transaksi antar bank internasional, yang biasanya perlu waktu lebih dari satu hari tetapi ini hanya perlu waktu beberapa menit saja",Positif
"Di gadai Crypto TRIV , bunganya gak terlalu tinggi dan aset kita pasti aman Jumlah uang yang dicairkan pun sesuai dengan koin yang kita punya di TRIV apalagi kl koin kita saat itu harganya lagi naik, pasti besar dana yang bisa dicairkan",Positif
Bagus sih Tp harga di daftar sma d advanced chart beda Knp bisa gtu???,Negatif
"Selain return yang kita dapat bisa besar sekali, kalo pake Crypto bisa kita gunakan untuk alat pembayaran dibeberapa transaksi digital, meskipun belum begitu banyak, dan juga banyak digunakan sebagai alat bayar di beberapa e commerse internasional/ luar negeri",Positif
"Sebagai investor baru di bidang Crypto sekarang sudah merasa aman karena semua legalitas platform ini sudah terdaftar di bapepti, jadi poasti sudah terjaminlah... inget gan kita inves di platform yang aman2 aja gan, biar gak zonk",Positif
"Investasi yang sama sekali tidak berimbas dengan adanya Pandemi adalah iNvestasi Crypto ini, makanya aq coba2 main krypto, dan setelah mencoba good sih memang ini kan investasi dengan return yang tinggi tetapi juga dibarengi dengan risk yang tinggi pula Tapi gakmperlu takut lah kan namanya juga investasi semua pasti ada resikonya yang penting kita tetap semangat cari cuan",Positif
Biaya pengiriman termahal Semua biaya transaksi mahal🤮🤮🤮,Negatif
"aplikasi bagus buat pemula,tapi piliahan coin masih sedikit terutama alt coin,dan coin untuk stakeingnya jg msh sdkt pilihannya untuk alt coin,semoga makin baik lg",Positif
Cara main y bagaimana bingung dah top up saldo tolong kasih tau,Positif
Recommended sejauh ini. masih berharap ada koin ergo dan sky coin di triv plis update selanjutnya min,Positif
"Bagi yang ingin main kripto silahkan instalasi aplikasi ini.tampilannya bagus,semuanya jelas mudah dipahami good",Positif
Kenapa setiap jual beli fee nya gede banget padahal mau jual di dompet masa harus ada fee harusnya kalo penarikan bank aja kena fee nya!!! Harga jual sama beli juga harganya beda jauh banget!!! Ui nya tolong ya di buat simple min,Negatif
"Kalo ngasih link Verifikasi akun yang bener dong, apaan nih Link dari tadi Expired terus",Negatif
Aplikasinya bagus dan legal untuk transaksi crypto jadi tidak perlu khawatir lagi untuk menggunaka Triv.Sangat recomended,Positif
"Maaf nih kak, mau nanya, kira kira Triv adakah asuransi dana cadangan untuk aset kripto yang dibeli? Seperti perlindungan dari cyber hacker, pencurian aset kripto, dan perlindungan aset yang dimiliki? Kalau dijawab akan saya kasih bintang 5🙏",Positif
Untuk staking semoga bisa nambah koin lain biar banyak pilihan nya,Positif
Kok sekarang triv loadingnya lama banget ada yg hampir stengah menit..buka menu apapun loadingnya parah.,Negatif
Terimakasih sd menyediakan platform buat investor pemula spt saya yg danannya terbatas dan bs menggunakan payment yg lbh sering dipakai dan mudah pemakaiannya.,Positif
"Untuk setornya tolong dong dikasih bri atau BNI, boros tau, tadi pakai Shopeepay kena 5000,",Negatif
"Sejauh ini aq bergabung di TRIV, banyak sekali keuntungan2 yang sudah aq dapat, selain fiturnya yang menggoda, giveaway, ataupun hadiah2 lainnya , yang paling jelas adalah keuntungan dari koin2 investasiku semakin kesini memang semakin banyak pilihan koin yang ditawarkan di Triv, kita pelajari based coinnya aja tetap tenang dan tidak panik, keuntungan gak akan kemana",Positif
"Yang baru coba investasi, jangan takut ya gak perlu siapin dana yang besar banget kok buat invesnya segera daftar saja, pelajari koin 2 yang tersedia di Triv, banyak kok pilihannya sesuaikan dengan kemampuan kita, jeli melihat pasar, keuntungan didepan mata",Positif
"Dengan fitur staking , gak nyangka bakal dapat bunga segitu awalnya tak kira gak beda jauh dengan bunga deposito di bank, ternyata jauh banget saudara... siapa yang gak suka banget, dengan nominal yang sama dengan deposito di Bank tapi keuntungan berlipat lipat",Positif
"Gak munafik ya hari gini investasi dengan return yang tinggi dan menggiurkan adalah angin segar... apalagi dimasa pandemi kayak gini, dan TRIV gak kaleng2 kalo ngasih bunga untuk investasi staking TRIV nya siapa coba yang gak mau....gak percaya cobain aja",Positif
saran tolong tambah lebih banyak coin karena sekarang ditriv masih sedikit coin,Positif
"Yang lain udh bagus, fitur yang disediakan triv udah bagus juga. Tapi 1 kurangnya, tolong triv adakan USDT tapi via jaringan solana (karna sering kirim keluarga pake itu lebih cepet sampenya). Tolong ya terima kasih",Positif
